	gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	int_term_x_neg_one	neg.log.p.adj	is.sig	int_term_abs	int.direction
514	Y41D4B.4	579.642589368872	1.49136747665956	0.331564282772509	28.0350016400411	8.17102884805397E-07	3.84088572892721E-06	-1.49136747665956	5.41556861343742	TRUE	1.49136747665956	negative
515	C34B4.2	339.415080690443	1.49126609779152	0.320846316320021	24.965225743163	3.79201555477789E-06	1.53748211134274E-05	-1.49126609779152	4.81318992855439	TRUE	1.49126609779152	negative
516	col-60	648.83703694954	1.4912409580495	1.08336944755459	11.2784868457446	0.003555557442299	0.006837806949018	-1.4912409580495	2.16508316475027	TRUE	1.4912409580495	negative
518	F58A4.2	74.4265079837996	1.49040620326854	0.317707061404514	43.4197445968491	3.72839792816984E-10	3.34930243413109E-09	-1.49040620326854	8.47504563491938	TRUE	1.49040620326854	negative
519	Y37E11AL.3	375.068800907987	1.49027084790499	0.395370614632958	14.4706866431594	0.000720659839718	0.001672843174442	-1.49027084790499	2.77654477133102	TRUE	1.49027084790499	negative
520	inx-14	472.468584842099	1.48898855410159	0.539374299724944	15.6738005044487	0.000394891208616	0.000979725454555	-1.48898855410159	3.00889560826308	TRUE	1.48898855410159	negative
521	unc-61	705.559642931378	1.48864813671627	0.333363562359567	24.2816878372083	5.33701570152157E-06	2.08116402519639E-05	-1.48864813671627	4.68169368988427	TRUE	1.48864813671627	negative
522	exo-3	261.682155058764	1.48858676704862	0.385153000930952	16.9462494767727	0.000209010777909	0.000555770402247	-1.48858676704862	3.25510458545191	TRUE	1.48858676704862	negative
523	jtr-1	86.0989993493389	1.48712314032278	0.304346282819438	39.3365925695149	2.87188770987577E-09	2.18565555062898E-08	-1.48712314032278	7.66041827982824	TRUE	1.48712314032278	negative
524	ani-1	1737.89598052344	1.48579051133307	0.512963391119409	12.2419095598379	0.002196357923179	0.004467859792416	-1.48579051133307	2.34990046410062	TRUE	1.48579051133307	negative
525	F39B2.3	265.261090196079	1.48560679906253	0.264002500617537	59.7106192234714	1.08144336416713E-13	1.73095598557573E-12	-1.48560679906253	11.7617139751429	TRUE	1.48560679906253	negative
526	nhr-256	89.8326271893326	1.4854610345533	0.271182829556705	53.6446800197648	2.24494518866174E-12	2.91733896604247E-11	-1.4854610345533	10.535013107207	TRUE	1.4854610345533	negative
527	mlh-1	278.627669194887	1.48397509916523	0.319055411341239	29.9480590815314	3.13950803279968E-07	1.60081677488522E-06	-1.48397509916523	5.79565837339614	TRUE	1.48397509916523	negative
528	nos-3	1513.76573326328	1.48386361988921	0.427564767896514	12.7509632271078	0.001702799506965	0.003573809706112	-1.48386361988921	2.44686857600097	TRUE	1.48386361988921	negative
529	ttr-50	49.0431417445984	1.48281742780979	0.591282217118524	35.803991877934	1.67981690941546E-08	1.10082493672098E-07	-1.48281742780979	6.9582817410293	TRUE	1.48281742780979	negative
