wbid,term,found
WBGene00006948,epithelial system WBbt:0005730,1.0
WBGene00018085,epithelial system WBbt:0005730,1.0
WBGene00013852,epithelial system WBbt:0005730,1.0
WBGene00021095,epithelial system WBbt:0005730,1.0
WBGene00000778,epithelial system WBbt:0005730,1.0
WBGene00009328,epithelial system WBbt:0005730,1.0
WBGene00019148,epithelial system WBbt:0005730,1.0
WBGene00013145,epithelial system WBbt:0005730,1.0
WBGene00004719,epithelial system WBbt:0005730,1.0
WBGene00021529,epithelial system WBbt:0005730,1.0
WBGene00006668,epithelial system WBbt:0005730,1.0
WBGene00010442,epithelial system WBbt:0005730,1.0
WBGene00013171,epithelial system WBbt:0005730,1.0
WBGene00013385,epithelial system WBbt:0005730,1.0
WBGene00003889,epithelial system WBbt:0005730,1.0
WBGene00012540,epithelial system WBbt:0005730,1.0
